Distance,TimeMs,Speed,Throttle,Brake,Steer,nGear
421.953125,8382,63,28.23529541492462,0.0,0.0636620745062828,0
422.5,8413,63,28.23529541492462,0.0,0.0069535295478999615,0
423.0234375,8443,63,28.23529541492462,0.0,-0.0,0
423.50390625,8474,64,28.23529541492462,0.0,-0.0,0
423.98046875,8505,64,28.23529541492462,0.0,-0.0,0
424.4609375,8536,64,28.23529541492462,0.0,0.001963674323633313,0
424.9453125,8567,64,28.23529541492462,0.0,0.06884128600358963,0
425.43359375,8597,65,28.23529541492462,0.0,0.11203454434871674,0
425.92578125,8628,65,28.62745225429535,0.0,0.1536126285791397,0
426.41796875,8659,65,28.62745225429535,0.0,0.193451926112175,0
426.91796875,8689,65,28.23529541492462,0.0,0.23158597946166992,0
427.421875,8720,65,28.62745225429535,0.0,0.2681993842124939,0
427.9296875,8750,66,28.62745225429535,0.0,0.30334562063217163,0
428.44921875,8781,66,29.019609093666077,0.0,0.33711594343185425,0
428.96875,8811,66,29.019609093666077,0.0,0.36958813667297363,0
429.5,8842,66,29.019609093666077,0.0,0.4006476104259491,0
430.03515625,8873,66,29.019609093666077,0.0,0.43053296208381653,0
430.57421875,8903,66,28.62745225429535,0.0,0.4592761993408203,0
431.12109375,8934,67,28.62745225429535,0.0,0.3737585246562958,0
431.6796875,8965,67,28.62745225429535,0.0,0.29998379945755005,0
432.23828125,8996,67,28.62745225429535,0.0,0.23122252523899078,0
432.80078125,9027,67,29.019609093666077,0.0,0.16837215423583984,0
433.37109375,9058,68,29.019609093666077,0.0,0.10987821221351624,0
433.94140625,9089,68,29.019609093666077,0.0,0.05600336194038391,0
434.515625,9121,68,29.019609093666077,0.0,0.005682884715497494,0
435.08984375,9152,68,29.019609093666077,0.0,0.017993729561567307,0
435.66015625,9183,69,29.019609093666077,0.0,0.0412151999771595,0
436.2421875,9214,69,29.411765933036804,0.0,0.0679844319820404,0
436.8203125,9245,69,29.019609093666077,0.0,0.10244455933570862,0
437.40234375,9276,70,29.019609093666077,0.0,0.12660059332847595,0
437.9921875,9307,70,29.019609093666077,0.0,0.07408558577299118,0
438.58203125,9339,70,29.411765933036804,0.0,0.025050293654203415,0
439.17578125,9370,70,29.411765933036804,0.0,-0.0,0
439.7734375,9401,71,29.411765933036804,0.0,-0.0,0
440.375,9433,71,29.411765933036804,0.0,0.017387039959430695,0
440.98046875,9464,71,28.62745225429535,0.0,0.04603532329201698,0
441.58984375,9496,72,28.62745225429535,0.0,0.08373668044805527,0
442.20703125,9527,72,28.23529541492462,0.0,0.12010840326547623,0
442.83203125,9559,72,27.843138575553894,0.0,0.1550949662923813,0
443.4609375,9591,72,27.843138575553894,0.0,0.18902075290679932,0
444.09765625,9623,73,27.843138575553894,0.0,0.22171397507190704,0
444.7421875,9655,73,28.23529541492462,0.0,0.2532098591327667,0
445.3984375,9687,73,28.23529541492462,0.0,0.2836979031562805,0
446.05859375,9720,73,28.23529541492462,0.0,0.3132927417755127,0
446.71875,9753,73,28.23529541492462,0.0,0.3415662944316864,0
447.3828125,9785,74,28.23529541492462,0.0,0.36841920018196106,0
448.05078125,9817,74,28.62745225429535,0.0,0.3942764401435852,0
448.7265625,9850,74,28.62745225429535,0.0,0.4191890358924866,0
449.40625,9883,74,29.80392277240753,0.0,0.3251522183418274,0
450.0859375,9916,75,29.80392277240753,0.0,0.2570919096469879,0
450.7734375,9948,75,30.19607961177826,0.0,0.19489598274230957,0
451.47265625,9981,75,30.588236451148987,0.0,0.13780587911605835,0
452.171875,10014,76,30.980393290519714,0.0,0.08525494486093521,0
452.875,10047,76,30.980393290519714,0.0,0.037151068449020386,0
453.58203125,10080,76,31.372550129890442,0.0,-0.0,0
454.29296875,10113,77,31.76470696926117,0.0,-0.0,0
455.01171875,10146,77,32.1568638086319,0.0,-0.0,0
455.73046875,10179,78,32.94117748737335,0.0,-0.0,0
456.44921875,10212,78,33.33333432674408,0.0,-0.0,0
457.17578125,10245,78,34.117648005485535,0.0,-0.0,0
457.90625,10278,79,34.50980484485626,0.0,-0.0,0
458.64453125,10311,79,34.90196168422699,0.0,-0.0,0
459.3828125,10344,80,34.90196168422699,0.0,-0.0,0
460.125,10377,80,35.686275362968445,0.0,-0.0,0
460.875,10410,81,36.4705890417099,0.0,-0.0,0
461.62890625,10443,81,37.64705955982208,0.0,0.03011605516076088,0
462.38671875,10476,82,38.823530077934265,0.0,0.055187102407217026,0
463.14453125,10509,82,39.60784375667572,0.0,0.08826306462287903,0
463.90625,10542,83,39.60784375667572,0.0,0.1198384165763855,0
464.66796875,10575,83,40.00000059604645,0.0,0.14782831072807312,0
465.43359375,10607,84,40.00000059604645,0.0,0.1060667410492897,0
466.203125,10640,84,40.00000059604645,0.0,0.06146705150604248,0
466.98046875,10672,85,40.00000059604645,0.0,0.020707152783870697,0
467.76953125,10705,85,40.00000059604645,0.0,-0.0,0
468.57421875,10738,86,40.392157435417175,0.0,-0.0,0
469.3828125,10771,86,40.392157435417175,0.0,-0.0,0
470.19921875,10805,87,40.00000059604645,0.0,-0.0,0
471.01953125,10838,88,40.7843142747879,0.0,-0.0,0
